Context,Scheme,Storage_KB,Compression_Ratio,Memory_Saved_Pct,Cosine_Similarity,Token_Agreement_Pct,Latency_ms
1024,FP16 Baseline,4224.0,1.00,0.0,1.0000,100.0,245.7
1024,Fixed 4-bit,1068.8,3.95,74.7,0.9702,100.0,2315.8
1024,Fixed 3-bit,1068.8,3.95,74.7,0.9702,100.0,2492.2
1024,Fixed 2-bit,1068.8,3.95,74.7,0.9702,100.0,2556.8
1024,AdaptiveKV (Threshold),1068.8,3.95,74.7,0.9702,100.0,2527.8
1024,AdaptiveKV (Budget 25%),1318.8,3.20,68.8,0.9951,100.0,15385.9
1024,Random Allocation (Ablation),1055.6,4.00,75.0,0.9527,100.0,2543.4
2048,FP16 Baseline,8320.0,1.00,0.0,1.0000,100.0,633.0
2048,Fixed 4-bit,2022.4,4.11,75.7,0.9623,100.0,3881.5
2048,Fixed 3-bit,2022.4,4.11,75.7,0.9623,100.0,4330.6
2048,Fixed 2-bit,2022.4,4.11,75.7,0.9623,100.0,3827.8
2048,AdaptiveKV (Threshold),2022.4,4.11,75.7,0.9623,100.0,3472.6
2048,AdaptiveKV (Budget 25%),2598.8,3.20,68.8,0.9951,100.0,28038.6
2048,Random Allocation (Ablation),2075.3,4.01,75.1,0.9530,100.0,3807.1
4096,FP16 Baseline,16512.0,1.00,0.0,1.0000,100.0,1217.2
4096,Fixed 4-bit,4106.7,4.02,75.1,0.9666,100.0,5502.4
4096,Fixed 3-bit,4106.7,4.02,75.1,0.9666,100.0,5437.9
4096,Fixed 2-bit,4106.7,4.02,75.1,0.9666,100.0,5475.0
4096,AdaptiveKV (Threshold),4106.7,4.02,75.1,0.9666,100.0,5615.6
4096,AdaptiveKV (Budget 25%),5158.8,3.20,68.8,0.9951,100.0,51757.2
4096,Random Allocation (Ablation),4125.3,4.00,75.0,0.9529,100.0,4851.2
8192,FP16 Baseline,32896.0,1.00,0.0,1.0000,100.0,2933.6
8192,Fixed 4-bit,8133.8,4.04,75.3,0.9671,100.0,9001.6
8192,Fixed 3-bit,8133.8,4.04,75.3,0.9671,100.0,10553.5
8192,Fixed 2-bit,8133.8,4.04,75.3,0.9671,100.0,13008.6
8192,AdaptiveKV (Threshold),8133.8,4.04,75.3,0.9671,100.0,12928.1
8192,AdaptiveKV (Budget 25%),10278.8,3.20,68.8,0.9951,100.0,168721.8
8192,Random Allocation (Ablation),8222.5,4.00,75.0,0.9523,100.0,13285.5
